Blood Meridian	Cormac McCarthy	52
Suttree	Cormac McCarthy	46
The Divine Comedy	Dante Alighieri	56
The Shipping News	E. Annie Proulx	58
The Known World	Edward P. Jones	52
The Death Of The Heart	Elizabeth Bowen	39
The Book of Disquiet	Fernando Pessoa	40
The Good Soldier	Ford Madox Ford	42
Parade's End	Ford Madox Ford	55
Honey in the Horn	Harold L. Davis	41
Moby-Dick	Herman Melville	32
U.S.A.	John Dos Passos	42
The Wind In The Willows	Kenneth Grahame	49
The Kite Runner	Khaled Hosseini	38
Tristram Shandy	Laurence Sterne	47
The Alexandria Quartet	Lawrence Durell	50
Early Autumn	Louis Bromfield	30
The Handmaid's Tale	Margaret Atwood	46
The Able McLaughlins	Margaret Wilson	41
One Lonely Night	Mickey Spillane	33
Laughing Boy	Oliver La Farge	28
The Puppet Masters	Robert Heinlein	44
The Moon Is A Harsh Mistress	Robert Heinlein	59
The Door Into Summer	Robert Heinlein	50
Citizen Of The Galaxy	Robert Heinlein	50
Double Star	Robert Heinlein	49
Stranger In A Strange Land	Robert Heinlein	54
Starship Troopers	Robert Heinlein	52
Kim	Rudyard Kipling	36
The Haunting Of Hill House	Shirley Jackson	43
The Twilight Saga	Stephenie Meyer	35
Schindler's List	Thomas Keneally	47
The Bridge Of San Luis Rey	Thornton Wilder	30
Angle Of Repose	Wallace Stegner	62
The Lord Of The Flies	William Golding	43
Lord Of The Flies	William Golding	43
Ironweed	William Kennedy	55
The Magnificent Ambersons	Booth Tarkington	49
Alice Adams	Booth Tarkington	52
The Heart Is A Lonely Hunter	Carson McCullers	23
The Maltese Falcon	Dashiell Hammett	36
Olive Kitteridge	Elizabeth Strout	52
The Sun Also Rises	Ernest Hemingway	27
A Farewell To Arms	Ernest Hemingway	30
Men Without Women	Ernest Hemingway	28
For Whom The Bell Tolls	Ernest Hemingway	41
The Old Man and the Sea	Ernest Hemingway	53
In Our Time	Ernest Hemingway	26
Tobacco Road	Erskine Caldwell	29
The Riddle Of The Sands	Erskine Childers	33
March	Geraldine Brooks	50
Poems	Giacomo Leopardi	20
Sentimental Education	Gustave Flaubert	48
Madame Bovary	Gustave Flaubert	36
Independent People	Halldór Laxness	33
The Studs Lonigan Trilogy	James T. Farrell	31
Andersonville	MacKinlay Kantor	51
House Made of Dawn	N. Scott Momaday	34
Ender's Game	Orson Scott Card	34
Mythago Wood	Robert Holdstock	36
Fifth Business	Robertson Davies	57
The Cunning Man	Robertson Davies	81
Birdsong	Sebastian Faulks	40
The Keepers of the House	Shirley Ann Grau	35
Sister Carrie	Theodore Dreiser	29
An American Tragedy	Theodore Dreiser	54
Pale Fire	Vladimir Nabokov	90
Lolita	Vladimir Nabokov	56
Absalom, Absalom!	William Faulkner	39
Light In August	William Faulkner	35
The Reivers	William Faulkner	65
A Fable	William Faulkner	57
The Sound and the Fury	William Faulkner	32
As I Lay Dying	William Faulkner	33
Rebecca	Daphne du Maurier	31
A Good Man Is Hard To Find	Flannery O'Connor	30
Wise Blood	Flannery O'Connor	27
Le Père Goriot	Honoré de Balzac	36
Tales of the South Pacific	James A. Michener	40
Middlesex	Jeffrey Eugenides	42
Ficciones	Jorge Luis Borges	87
Gone With The Wind	Margaret Mitchell	36
Zorba the Greek	Nikos Kazantzakis	63
Winesburg, Ohio	Sherwood Anderson	43
Martin Dressler:The Tale of an American Dreamer	Steven Millhauser	53
The Sound of the Mountain	Yasunari Kawabata	55
The Way West	A. B. Guthrie, Jr.	48
The Time Traveler's Wife	Audrey Niffenegger	40
The Poisonwood Bible	Barbara Kingsolver	43
The Life of Gargantua and of Pantagruel	François Rabelais	13840
The Possessed	Fyodor Dostoyevsky	51
The Brothers Karamazov	Fyodor Dostoyevsky	59
The Idiot	Fyodor Dostoyevsky	48
Crime and Punishment	Fyodor Dostoyevsky	45
The Decameron	Giovanni Boccaccio	40
A Confederacy of Dunces	John Kennedy Toole	32
Housekeeping	Marilynne Robinson	37
Gilead	Marilynne Robinson	61
The Hours	Michael Cunningham	46
A Good Scent from a Strange Mountain	Robert Olen Butler	47
All The King's Men	Robert Penn Warren	41
Their Eyes Were Watching God	Zora Neale Hurston	46
The Beautiful And The Damned	F. Scott Fitzgerald	24
The Great Gatsby	F. Scott Fitzgerald	29
Tender Is The Night	F. Scott Fitzgerald	38
This Side Of Paradise	F. Scott Fitzgerald	24
Guard of Honor	James Gould Cozzens	45
Guilty Pleasures	Laurell K. Hamilton	30
Essays	Michel de Montaigne	62
Don Quixote	Miguel de Cervantes	68
The Travels of Jaimie McPheeters	Robert Lewis Taylor	46
Of Human Bondage	W. Somerset Maugham	41
Othello	William Shakespeare	58
Hamlet	William Shakespeare	39
Romeo And Juliet	William Shakespeare	33
King Lear	William Shakespeare	44
All Quiet On The Western Front	Erich Maria Remarque	31
Elbow Room	James Alan McPherson	34
Years of Grace	Margaret Ayer Barnes	44
Memoirs of Hadrian	Marguerite Yourcenar	48
Naked Lunch	William S. Burroughs	45
The Devil to Pay in the Backlands	João Guimarães Rosa	48
The Collected Stories of Katherine Anne Porter	Katherine Anne Porter	75
Gypsy Ballads	Federico García Lorca	30
The Late George Apley	John Phillips Marquand	44
Dr Jekyll And Mr Hyde	Robert Louis Stevenson	36
Fairy tales	Hans Christian Andersen	32
Journey to the End of the Night	Louis-Ferdinand Céline	38
One Hundred Years of Solitude	Gabriel García Márquez	40
Love in the Time of Cholera	Gabriel García Márquez	58
The Yearling	Marjorie Kinnan Rawlings	42
Now in November	Josephine Winslow Johnson	24
Faust	Johann Wolfgang von Goethe	83
Dangerous Liaisons	Pierre Choderlos De Laclos	41
The Store	Thomas Sigismund Stribling	51
Vanity Fair	William Makepeace Thackeray	37
